"last_update","datetime","datetime_utc","tz_time","geo_id","geo_name","metric_id","metric_name","value"
"2025-06-10 15:10:45","2025-05-14 15:10:45","2025-05-14 15:10:45","2025-05-14 15:10:45",28,"Region_7",8,"Geothermal",2033212527000
"2025-06-10 15:10:45","2025-06-07 15:10:45","2025-06-07 15:10:45","2025-06-07 15:10:45",44,"Region_3",4,"Hydroelectric",2040307443000
"2025-06-10 15:10:45","2025-06-08 15:10:45","2025-06-08 15:10:45","2025-06-08 15:10:45",33,"Region_12",3,"Coal",2245027232000
"2025-06-10 15:10:45","2025-05-14 15:10:45","2025-05-14 15:10:45","2025-05-14 15:10:45",28,"Region_7",8,"Hydroelectric",2944210827000
"2025-06-10 15:10:45","2025-05-12 15:10:45","2025-05-12 15:10:45","2025-05-12 15:10:45",90,"Region_9",10,"Natural Gas",1831770089000
"2025-06-10 15:10:45","2025-05-31 15:10:45","2025-05-31 15:10:45","2025-05-31 15:10:45",51,"Region_10",1,"Biomass",1993516150000
"2025-06-10 15:10:45","2025-05-18 15:10:45","2025-05-18 15:10:45","2025-05-18 15:10:45",84,"Region_3",4,"Hydroelectric",2370661883000
"2025-06-10 15:10:45","2025-05-19 15:10:45","2025-05-19 15:10:45","2025-05-19 15:10:45",13,"Region_12",3,"Coal",87673912000
"2025-06-10 15:10:45","2025-05-25 15:10:45","2025-05-25 15:10:45","2025-05-25 15:10:45",87,"Region_6",7,"Biomass",3775584886000
"2025-06-10 15:10:45","2025-06-06 15:10:45","2025-06-06 15:10:45","2025-06-06 15:10:45",75,"Region_14",5,"Nuclear",1938692674000
