"last_update","datetime","datetime_utc","tz_time","geo_id","geo_name","metric_id","metric_name","value"
"2025-06-10 15:10:23","2025-06-10 02:10:23","2025-06-10 02:10:23","2025-06-10 02:10:23",66,"Region_6",6,"Supply",3505598130
"2025-06-10 15:10:23","2025-06-10 09:10:23","2025-06-10 09:10:23","2025-06-10 09:10:23",3,"Region_3",3,"Demand",2706937804
"2025-06-10 15:10:23","2025-06-09 16:10:23","2025-06-09 16:10:23","2025-06-09 16:10:23",52,"Region_2",2,"Solar",3073351502
"2025-06-10 15:10:23","2025-06-10 11:10:23","2025-06-10 11:10:23","2025-06-10 11:10:23",13,"Region_3",3,"Wind",254892624
"2025-06-10 15:10:23","2025-06-10 11:10:23","2025-06-10 11:10:23","2025-06-10 11:10:23",81,"Region_1",1,"Wind",1189499760
"2025-06-10 15:10:23","2025-06-10 00:10:23","2025-06-10 00:10:23","2025-06-10 00:10:23",88,"Region_8",8,"Price",575141974
"2025-06-10 15:10:23","2025-06-10 01:10:23","2025-06-10 01:10:23","2025-06-10 01:10:23",67,"Region_7",7,"Frequency",4007246132
"2025-06-10 15:10:23","2025-06-10 06:10:23","2025-06-10 06:10:23","2025-06-10 06:10:23",2,"Region_2",2,"Price",667176802
"2025-06-10 15:10:23","2025-06-09 18:10:23","2025-06-09 18:10:23","2025-06-09 18:10:23",42,"Region_2",2,"Price",3373501882
"2025-06-10 15:10:23","2025-06-09 21:10:23","2025-06-09 21:10:23","2025-06-09 21:10:23",63,"Region_3",3,"Demand",3430566124
